1,51
2,54
3,56
4,61
5,70
6,88
7,123
8,164
9,218
10,330
11,424
12,482
13,621
14,803
15,1012
16,1231
17,1572
18,1838
19,2144
20,2456
21,2948
22,3382
23,3772
24,4186
25,4689
26,4998
27,5416
28,5913
29,6462
30,7103
31,7667
32,8238
33,8790
34,9455
35,10143
36,10929
37,11719
38,12425
39,13134
40,13770
41,14657
42,15691
43,16660
44,17822
45,18863
46,20065
47,20995
48,22268
49,23870
50,25121
51,26738
52,28511
53,30205
54,32078
55,33610
56,35585
57,36751
58,38292
59,40321
60,42844
61,44608
